ID,latitude,longitude,Date,farm type,Pop,Infection
"416",14.907810000000000,101.422520000000006,05-03-2017,dairy,"30","0"
"239",14.915310000000000,101.414249999999996,07-03-2017,dairy,"40","0"
"173",14.910589999999999,101.401240000000001,10-03-2017,dairy,"130","0"
"318",14.882120000000000,101.444019999999995,10-03-2017,dairy,"50","0"
"500",14.869660000000000,101.445859999999996,10-03-2017,dairy,"40","0"
"17",14.892440000000001,101.424189999999996,11-03-2017,dairy,"11","0"
"270",14.913700000000000,101.402559999999994,15-03-2017,dairy,"18","0"
"264",14.914270000000000,101.402699999999996,15-03-2017,dairy,"20","0"
"414",14.911310000000000,101.406080000000003,15-03-2017,dairy,"60","0"
"376",14.915469999999999,101.414699999999996,15-03-2017,dairy,"50","0"
"425",14.866030000000000,101.418570000000003,15-03-2017,dairy,"36","0"
"312",14.852300000000000,101.420620000000000,15-03-2017,dairy,"23","0"
"100",14.872880000000000,101.422300000000007,15-03-2017,dairy,"30","0"
"465",14.857989999999999,101.429599999999994,15-03-2017,dairy,"15","0"
"210",14.896550000000000,101.435400000000001,15-03-2017,dairy,"26","0"
"149",14.855460000000001,101.439869999999999,15-03-2017,dairy,"30","0"
"380",14.916040000000001,101.406599999999997,20-03-2017,dairy,"120","0"
"156",14.916969999999999,101.420710000000000,20-03-2017,dairy,"60","0"
"222",14.873860000000001,101.431770000000000,20-03-2017,dairy,"45","0"
"320",14.902710000000001,101.414150000000006,23-03-2017,dairy,"28","0"
"388",14.910970000000001,101.408959999999993,24-03-2017,dairy,"60","0"
"87",14.915600000000000,101.408500000000004,25-03-2017,dairy,"40","0"
"284",14.915240000000001,101.408609999999996,25-03-2017,dairy,"60","0"
"71",14.908320000000000,101.412239999999997,25-03-2017,dairy,"26","0"
"129",14.912590000000000,101.417439999999999,25-03-2017,dairy,"60","0"
"456",14.912960000000000,101.424679999999995,25-03-2017,dairy,"14","0"
"195",14.913940000000000,101.402590000000004,29-03-2017,dairy,"40","0"
"279",14.916090000000001,101.408050000000003,30-03-2017,dairy,"30","0"
"292",14.911170000000000,101.399460000000005,04-04-2017,dairy,"190","0"
"485",14.912150000000000,101.402649999999994,05-04-2017,dairy,"15","0"
"124",14.920199999999999,101.411370000000005,05-04-2017,dairy,"50","0"
"50",14.917920000000001,101.420519999999996,06-04-2017,dairy,"86","0"
"58",14.910030000000001,101.400540000000007,07-04-2017,dairy,"45","0"
"231",14.913910000000000,101.412109999999998,10-04-2017,dairy,"30","0"
"177",14.904719999999999,101.413780000000003,10-04-2017,dairy,"40","0"
"165",14.939570000000000,101.413950000000000,10-04-2017,dairy,"80","0"
"405",14.907130000000000,101.414829999999995,10-04-2017,dairy,"27","0"
"161",14.896680000000000,101.425740000000005,13-04-2017,dairy,"10","0"
"103",14.907909999999999,101.413770000000000,14-04-2017,dairy,"52","0"
"127",14.907360000000001,101.415019999999998,14-04-2017,dairy,"6","0"
"482",14.916679999999999,101.404570000000007,15-04-2017,dairy,"50","0"
"202",14.866280000000000,101.413820000000001,15-04-2017,dairy,"60","0"
"257",14.888859999999999,101.420860000000005,20-04-2017,dairy,"60","0"
